synth_id,image_path,label_path,background_frame_id,background_asset_id,background_frame_path,background_zone_l1,donor_crop_id,donor_source_name,donor_crop_path,class_name,class_id,bbox_xywh_norm,generation_seed,image_width,image_height,sha256,quality_flag,notes
synth_v1_000011_fire,02_processed/synth/v1_smoke/images/synth_v1_000011_fire.jpg,02_processed/synth/v1_smoke/labels/synth_v1_000011_fire.txt,SHIP_DVIDS_001_f61bc432432e9226,SHIP_DVIDS_001,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000130.jpg,engine_room,cqu_firesmokeyolo_fire_b15cba72d2f36498,CQU_FireSmokeYOLO,02_processed/crops/fire_smoke_donor_v1/images/fire/CQU_FireSmokeYOLO/cqu_firesmokeyolo_fire_b15cba72d2f36498.png,fire,0,"[0.563232,0.478125,0.12178,0.20625]",3066845143,854,480,4920e177bd7481f09f4a00288fa8a47292eb09460b8bbeb840f8197cae34c160,synthetic_proxy,public_data_only; synthetic_positive_proxy; not_real_shipboard_positive_label; run_seed=20260426; opacity=0.836; blur_radius=0.904
synth_v1_000012_smoke,02_processed/synth/v1_smoke/images/synth_v1_000012_smoke.jpg,02_processed/synth/v1_smoke/labels/synth_v1_000012_smoke.txt,SHIP_DVIDS_001_f61bc432432e9226,SHIP_DVIDS_001,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000130.jpg,engine_room,cqu_firesmokeyolo_smoke_bfc9dea0c5bbe1e7,CQU_FireSmokeYOLO,02_processed/crops/fire_smoke_donor_v1/images/smoke/CQU_FireSmokeYOLO/cqu_firesmokeyolo_smoke_bfc9dea0c5bbe1e7.png,smoke,1,"[0.817916,0.552083,0.048009,0.15]",1039843782,854,480,fc9c6a441a2e7d060af6544577448cf581695822fa64224c6c32ee4ef108371b,synthetic_proxy,public_data_only; synthetic_positive_proxy; not_real_shipboard_positive_label; run_seed=20260426; opacity=0.689; blur_radius=0.573
synth_v1_000013_fire,02_processed/synth/v1_smoke/images/synth_v1_000013_fire.jpg,02_processed/synth/v1_smoke/labels/synth_v1_000013_fire.txt,SHIP_DVIDS_001_af3830021946ed5f,SHIP_DVIDS_001,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000079.jpg,engine_room,dfire_fire_0ddb38053195e403,DFire,02_processed/crops/fire_smoke_donor_v1/images/fire/DFire/dfire_fire_0ddb38053195e403.png,fire,0,"[0.277518,0.541667,0.194379,0.308333]",1979373019,854,480,489f3438321500d7f18f0db1948237dfa0b0ada0a4e488b5b463ca0d8f97b21f,synthetic_proxy,public_data_only; synthetic_positive_proxy; not_real_shipboard_positive_label; run_seed=20260426; opacity=0.594; blur_radius=0.824
synth_v1_000014_smoke,02_processed/synth/v1_smoke/images/synth_v1_000014_smoke.jpg,02_processed/synth/v1_smoke/labels/synth_v1_000014_smoke.txt,SHIP_DVIDS_001_af3830021946ed5f,SHIP_DVIDS_001,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000079.jpg,engine_room,cqu_firesmokeyolo_smoke_f691c794b61bcafb,CQU_FireSmokeYOLO,02_processed/crops/fire_smoke_donor_v1/images/smoke/CQU_FireSmokeYOLO/cqu_firesmokeyolo_smoke_f691c794b61bcafb.png,smoke,1,"[0.631733,0.196875,0.101874,0.210417]",3123011506,854,480,d67f20cbf825e4b8b21116433053d6dca868b3388691b0ca1e5dd2afa0aeea56,synthetic_proxy,public_data_only; synthetic_positive_proxy; not_real_shipboard_positive_label; run_seed=20260426; opacity=0.852; blur_radius=0.441
synth_v1_000015_fire,02_processed/synth/v1_smoke/images/synth_v1_000015_fire.jpg,02_processed/synth/v1_smoke/labels/synth_v1_000015_fire.txt,SHIP_DVIDS_001_3e0d9bd10198c31a,SHIP_DVIDS_001,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000071.jpg,engine_room,dfire_fire_5dd03f84a7733375,DFire,02_processed/crops/fire_smoke_donor_v1/images/fire/DFire/dfire_fire_5dd03f84a7733375.png,fire,0,"[0.209602,0.240625,0.105386,0.20625]",1070555859,854,480,08b1115d8843f6ad99264a400eddf192ee829712fdf9f0360a110d4daa3c5c68,synthetic_proxy,public_data_only; synthetic_positive_proxy; not_real_shipboard_positive_label; run_seed=20260426; opacity=0.607; blur_radius=0.068
synth_v1_000016_smoke,02_processed/synth/v1_smoke/images/synth_v1_000016_smoke.jpg,02_processed/synth/v1_smoke/labels/synth_v1_000016_smoke.txt,SHIP_DVIDS_001_3e0d9bd10198c31a,SHIP_DVIDS_001,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000071.jpg,engine_room,cqu_firesmokeyolo_smoke_379f6cc3426b2774,CQU_FireSmokeYOLO,02_processed/crops/fire_smoke_donor_v1/images/smoke/CQU_FireSmokeYOLO/cqu_firesmokeyolo_smoke_379f6cc3426b2774.png,smoke,1,"[0.320843,0.239583,0.159251,0.25]",107660218,854,480,09538129a0ae1ed051ca7009e89e13d1f7fecbfaac7ce5bf863ba9b9ecc1d9fc,synthetic_proxy,public_data_only; synthetic_positive_proxy; not_real_shipboard_positive_label; run_seed=20260426; opacity=0.682; blur_radius=0.921
synth_v1_000017_fire,02_processed/synth/v1_smoke/images/synth_v1_000017_fire.jpg,02_processed/synth/v1_smoke/labels/synth_v1_000017_fire.txt,SHIP_DVIDS_001_ba2578ad1725d859,SHIP_DVIDS_001,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000069.jpg,engine_room,cqu_firesmokeyolo_fire_0870661739a32947,CQU_FireSmokeYOLO,02_processed/crops/fire_smoke_donor_v1/images/fire/CQU_FireSmokeYOLO/cqu_firesmokeyolo_fire_0870661739a32947.png,fire,0,"[0.175644,0.657292,0.100703,0.41875]",4016087267,854,480,8bc3febdd323f373f624cbec4fef9773c81ab20309dabb78dcf8bb2468df3ac9,synthetic_proxy,public_data_only; synthetic_positive_proxy; not_real_shipboard_positive_label; run_seed=20260426; opacity=0.631; blur_radius=0.592
synth_v1_000018_smoke,02_processed/synth/v1_smoke/images/synth_v1_000018_smoke.jpg,02_processed/synth/v1_smoke/labels/synth_v1_000018_smoke.txt,SHIP_DVIDS_001_ba2578ad1725d859,SHIP_DVIDS_001,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000069.jpg,engine_room,dfire_smoke_b220217692dea77a,DFire,02_processed/crops/fire_smoke_donor_v1/images/smoke/DFire/dfire_smoke_b220217692dea77a.png,smoke,1,"[0.327869,0.375,0.107728,0.191667]",2080973015,854,480,fda591557f013a9f5cc945ca15379ea90b82659748f8dd39519886ff7bd59908,synthetic_proxy,public_data_only; synthetic_positive_proxy; not_real_shipboard_positive_label; run_seed=20260426; opacity=0.564; blur_radius=0.105
synth_v1_000019_fire,02_processed/synth/v1_smoke/images/synth_v1_000019_fire.jpg,02_processed/synth/v1_smoke/labels/synth_v1_000019_fire.txt,SHIP_DVIDS_001_5f3ce98429c33975,SHIP_DVIDS_001,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000107.jpg,engine_room,dfire_fire_60ebf7fd4e5fcd89,DFire,02_processed/crops/fire_smoke_donor_v1/images/fire/DFire/dfire_fire_60ebf7fd4e5fcd89.png,fire,0,"[0.461944,0.251042,0.099532,0.185417]",3573307124,854,480,18b7a82aebd83db45d7fc9264d88867b3366701deb030d4fbbd36a416015d057,synthetic_proxy,public_data_only; synthetic_positive_proxy; not_real_shipboard_positive_label; run_seed=20260426; opacity=0.834; blur_radius=0.044
synth_v1_000020_smoke,02_processed/synth/v1_smoke/images/synth_v1_000020_smoke.jpg,02_processed/synth/v1_smoke/labels/synth_v1_000020_smoke.txt,SHIP_DVIDS_001_5f3ce98429c33975,SHIP_DVIDS_001,02_processed/frames/ship_like/DVIDS/20260426/SHIP_DVIDS_001/frame_000107.jpg,engine_room,cqu_firesmokeyolo_smoke_55752b7518a14990,CQU_FireSmokeYOLO,02_processed/crops/fire_smoke_donor_v1/images/smoke/CQU_FireSmokeYOLO/cqu_firesmokeyolo_smoke_55752b7518a14990.png,smoke,1,"[0.704333,0.607292,0.160422,0.377083]",1147789384,854,480,550a9136d944e8c89c2ee46ad950a453101789a220cf6e97e52ea2b96aab54dd,synthetic_proxy,public_data_only; synthetic_positive_proxy; not_real_shipboard_positive_label; run_seed=20260426; opacity=0.737; blur_radius=0.375
